date,inside_covers,outside_covers,reserved_covers,walkin_covers,waitlist_covers,no_show_covers,no_show_parties,UC,season,weekday,year,patio_open,apparent_temp_7pm,apparent_temp_12pm,dewpoint_7pm,temp_max,temp_min,temp_range,snow_depth_morning,precip_dinner,precip_dinner_max,snowfall_dinner,precip_type_dinner,windgusts_dinner_max,cloudcover_dinner_mean,precip_lunch,precip_lunch_max,precip_type_lunch,precip_lag0,precip_type_code,precip_lag1,precip_lag2,precip_lag5d,year_code,any_rain_lag1,OC_predicted,cloudcover_bin,UC_predicted,UC_resid
2017-04-21,199,2,133,10,58,15,5,68,Spring,5,2017,1,53.5,51.2,51.1,56.5,42.9,13.600000000000001,0.0,0.0,0.0,0.0,none,11.4,100.0,0.0,0.0,none,0.261,0,0.348,0.05500000000000001,0.419,0,1,0.0,3,105.19744178062385,-37.19744178062385
2017-04-22,232,0,143,27,62,8,4,89,Spring,6,2017,0,51.7,50.9,50.5,53.5,43.3,10.200000000000003,0.0,0.04,0.016,0.0,rain,8.5,100.0,0.08,0.028,rain,0.203,1,0.261,0.348,0.6679999999999999,0,1,0.0,3,82.90630349762507,6.093696502374925
2017-04-23,203,43,119,70,57,22,8,127,Spring,7,2017,1,44.7,57.0,42.3,60.7,37.0,23.700000000000003,0.0,0.0,0.0,0.0,none,21.5,100.0,0.0,0.0,none,0.0,0,0.203,0.261,0.867,0,1,0.0,3,116.05051864076633,10.949481359233673
2017-04-24,200,0,131,20,49,16,5,69,Spring,1,2017,0,47.0,48.6,43.2,50.0,40.5,9.5,0.0,0.004,0.004,0.0,rain,13.4,100.0,0.0,0.0,none,0.012,1,0.0,0.203,0.867,0,0,0.0,3,61.49792180804426,7.502078191955739
2017-04-25,166,0,102,14,50,12,5,64,Spring,2,2017,0,44.6,46.4,51.2,47.9,42.7,5.199999999999996,0.0,0.09,0.035,0.0,rain,32.7,100.0,0.059,0.031,rain,0.446,1,0.012,0.0,0.8240000000000001,0,1,0.0,3,56.78510355670613,7.214896443293867
2017-04-26,163,11,111,26,37,11,3,63,Spring,3,2017,1,59.8,53.7,56.9,61.5,47.1,14.399999999999999,0.0,0.0,0.0,0.0,none,19.5,100.0,0.008,0.008,rain,0.252,0,0.446,0.012,0.922,0,1,75.77453900887775,3,124.3074353129376,-61.3074353129376
2017-04-27,202,33,127,60,48,30,10,108,Spring,4,2017,1,50.3,65.0,52.5,65.0,50.3,14.700000000000003,0.0,0.0,0.0,0.0,none,22.6,97.0,0.0,0.0,none,0.0,0,0.252,0.446,0.913,0,1,0.0,3,98.02201858623714,9.977981413762862
2017-04-28,183,114,140,68,89,26,9,157,Spring,5,2017,1,70.3,77.2,65.1,79.8,51.8,28.0,0.0,0.0,0.0,0.0,none,25.7,24.8,0.0,0.0,none,0.0,0,0.0,0.252,0.71,0,0,117.77198297103263,0,157.76104355173553,-0.7610435517355256
2017-04-29,188,127,142,43,130,12,5,173,Spring,6,2017,1,75.6,77.4,63.4,81.7,54.4,27.300000000000004,0.0,0.0,0.0,0.0,none,31.1,88.5,0.0,0.0,none,0.673,0,0.0,0.0,0.71,0,0,106.456630650758,3,168.09889239287975,4.901107607120252
2017-04-30,205,2,139,17,51,22,8,68,Spring,7,2017,1,45.1,54.2,42.1,63.1,43.0,20.1,0.0,0.0,0.0,0.0,none,28.4,100.0,0.0,0.0,none,0.008,0,0.673,0.0,1.371,0,1,0.0,3,116.17448173110213,-48.174481731102134
